20-09-2023 00:09:46.930 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 26092 (C:\Users\PavanTejan\Documents\_movie_booking_app\IIHT Movie Booking App\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\IIHT Movie Booking App\User)
20-09-2023 00:09:46.939 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
20-09-2023 00:10:01.720 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 16.08 seconds (process running for 17.601)
20-09-2023 00:10:19.796 [http-nio-8080-exec-2] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
20-09-2023 00:57:13.022 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 2272 (C:\Users\PavanTejan\Documents\_movie_booking_app\IIHT Movie Booking App\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\IIHT Movie Booking App\User)
20-09-2023 00:57:13.033 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
20-09-2023 00:57:46.210 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 15484 (C:\Users\PavanTejan\Documents\_movie_booking_app\IIHT Movie Booking App\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\IIHT Movie Booking App\User)
20-09-2023 00:57:46.213 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
20-09-2023 00:57:55.383 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 10.04 seconds (process running for 11.299)
20-09-2023 00:58:48.485 [http-nio-8080-exec-2] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
20-09-2023 00:58:48.485 [http-nio-8080-exec-2] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome mummy


20-09-2023 16:36:26.718 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 2372 (C:\Users\PavanTejan\Documents\_movie_booking_app\IIHT Movie Booking App\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\IIHT Movie Booking App\User)
20-09-2023 16:36:26.724 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
20-09-2023 16:36:38.066 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 12.207 seconds (process running for 13.41)
20-09-2023 16:36:52.641 [http-nio-8080-exec-1] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
20-09-2023 16:38:10.626 [http-nio-8080-exec-5] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
20-09-2023 16:39:39.941 [http-nio-8080-exec-8] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
20-09-2023 16:39:53.496 [http-nio-8080-exec-9] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
10-10-2023 10:07:52.956 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 22672 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:07:52.966 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:09:10.335 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 6868 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:09:10.343 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:22:06.875 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 13628 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:22:06.882 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:23:36.324 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 1668 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:23:36.332 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:24:22.967 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 32936 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:24:22.976 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:25:03.905 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 25784 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:25:03.912 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:25:20.803 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 18.078 seconds (process running for 19.522)
10-10-2023 10:25:40.824 [http-nio-8080-exec-2] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
10-10-2023 10:30:21.365 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 32852 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:30:21.374 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:30:37.595 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 17.445 seconds (process running for 18.993)
10-10-2023 10:30:54.869 [http-nio-8080-exec-2] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
10-10-2023 10:36:19.594 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 13072 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:36:19.601 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:36:34.916 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 16.486 seconds (process running for 17.995)
